Date,Country/Region,Confirmed,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,WHO_Region
2020-01-22,Afghanistan,0,0,0,0,0,0,0,Eastern Mediterranean
2020-01-22,Albania,0,0,0,0,0,0,0,Europe
2020-01-22,Algeria,0,0,0,0,0,0,0,Africa
2020-01-22,Andorra,0,0,0,0,0,0,0,Europe
2020-01-22,Angola,0,0,0,0,0,0,0,Africa
2020-01-22,Antigua and Barbuda,0,0,0,0,0,0,0,Americas
2020-01-22,Argentina,0,0,0,0,0,0,0,Americas
2020-01-22,Armenia,0,0,0,0,0,0,0,Europe
2020-01-22,Australia,0,0,0,0,0,0,0,Western Pacific
2020-01-22,Austria,0,0,0,0,0,0,0,Europe
2020-01-22,Azerbaijan,0,0,0,0,0,0,0,Europe
2020-01-22,Bahamas,0,0,0,0,0,0,0,Americas
2020-01-22,Bahrain,0,0,0,0,0,0,0,Eastern Mediterranean
2020-01-22,Bangladesh,0,0,0,0,0,0,0,South-East Asia
2020-01-22,Barbados,0,0,0,0,0,0,0,Americas
2020-01-22,Belarus,0,0,0,0,0,0,0,Europe
2020-01-22,Belgium,0,0,0,0,0,0,0,Europe
2020-01-22,Belize,0,0,0,0,0,0,0,Americas
2020-01-22,Benin,0,0,0,0,0,0,0,Africa
